Date,"Daily foreign exchange rates, 31 December 1979 ? 31 December 1998"
31-12-1979,1.726
02-01-1980,1.714
03-01-1980,1.711
04-01-1980,1.713
07-01-1980,1.708
08-01-1980,1.713
09-01-1980,1.712
10-01-1980,1.717
11-01-1980,1.721
14-01-1980,1.719
15-01-1980,1.728
16-01-1980,1.722
17-01-1980,1.724
18-01-1980,1.724
21-01-1980,1.729
22-01-1980,1.734
23-01-1980,1.73
24-01-1980,1.732
25-01-1980,1.737
28-01-1980,1.739
29-01-1980,1.737
30-01-1980,1.737
31-01-1980,1.744
01-02-1980,1.744
04-02-1980,1.742
05-02-1980,1.743
06-02-1980,1.733
07-02-1980,1.739
08-02-1980,1.739
11-02-1980,1.739
13-02-1980,1.735
14-02-1980,1.736
15-02-1980,1.742
19-02-1980,1.748
20-02-1980,1.748
21-02-1980,1.747
22-02-1980,1.759
25-02-1980,1.762
26-02-1980,1.764
27-02-1980,1.758
28-02-1980,1.764
29-02-1980,1.777
03-03-1980,1.783
04-03-1980,1.791
05-03-1980,1.789
06-03-1980,1.795
07-03-1980,1.796
10-03-1980,1.81
11-03-1980,1.812
12-03-1980,1.808
13-03-1980,1.822
14-03-1980,1.833
17-03-1980,1.874
18-03-1980,1.877
19-03-1980,1.873
20-03-1980,1.866
21-03-1980,1.878
24-03-1980,1.888
25-03-1980,1.897
26-03-1980,1.897
27-03-1980,1.92
28-03-1980,1.932
31-03-1980,1.952
01-04-1980,1.962
02-04-1980,1.955
03-04-1980,1.964
04-04-1980,1.97
07-04-1980,1.975
08-04-1980,1.941
09-04-1980,1.89
10-04-1980,1.877
11-04-1980,1.877
14-04-1980,1.872
15-04-1980,1.895
16-04-1980,1.86
17-04-1980,1.857
18-04-1980,1.854
21-04-1980,1.849
22-04-1980,1.862
23-04-1980,1.823
24-04-1980,1.82
25-04-1980,1.813
28-04-1980,1.798
29-04-1980,1.797
30-04-1980,1.8
01-05-1980,1.802
02-05-1980,1.824
05-05-1980,1.796
06-05-1980,1.793
07-05-1980,1.786
08-05-1980,1.793
09-05-1980,1.812
12-05-1980,1.791
13-05-1980,1.794
14-05-1980,1.789
15-05-1980,1.791
16-05-1980,1.794
19-05-1980,1.803
20-05-1980,1.803
21-05-1980,1.788
22-05-1980,1.79
23-05-1980,1.779
27-05-1980,1.762
28-05-1980,1.772
29-05-1980,1.779
30-05-1980,1.779
02-06-1980,1.783
03-06-1980,1.775
04-06-1980,1.774
05-06-1980,1.775
