Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
1,USA,104196861,1132935.0,101322779.0,1741147.0,1159832679.0,334805269.0
2,India,44682784,530740.0,44150289.0,1755.0,915265788.0,1406631776.0
3,France,39524311,164233.0,39264546.0,95532.0,271490188.0,65584518.0
4,Germany,37779833,165711.0,37398100.0,216022.0,122332384.0,83883596.0
5,Brazil,36824580,697074.0,35919372.0,208134.0,63776166.0,215353593.0
6,Japan,32588442,68399.0,21567425.0,10952618.0,92144639.0,125584838.0
7,S. Korea,30197066,33486.0,29740877.0,422703.0,15804065.0,51329899.0
8,Italy,25453789,186833.0,25014986.0,251970.0,265478247.0,60262770.0
9,UK,24274361,204171.0,24020088.0,50102.0,522526476.0,68497907.0
10,Russia,21958696,395108.0,21356008.0,207580.0,273400000.0,145805947.0
11,Turkey,17042722,101492.0,4351350.5,14997.5,162743369.0,85561976.0
12,Spain,13731478,118434.0,13557699.0,55345.0,471036328.0,46719142.0
13,Vietnam,11526508,43186.0,10612479.0,870843.0,85826548.0,98953541.0
14,Australia,11295446,18615.0,11235771.0,41060.0,78835048.0,26068792.0
15,Argentina,10037135,130421.0,9877032.0,29682.0,35716069.0,46010234.0
16,Taiwan,9569611,16356.0,9129766.0,423489.0,30207485.0,23888595.0
17,Netherlands,8582500,22989.0,8547771.0,11740.0,25984435.0,17211447.0
18,Iran,7564350,144749.0,7337549.0,82052.0,54420785.0,86022837.0
19,Mexico,7368252,332198.0,6606633.0,429421.0,19356195.0,131562772.0
20,Indonesia,6730289,160817.0,6565208.0,4264.0,114158919.0,279134505.0
21,Poland,6380225,118736.0,5335940.0,925549.0,38118630.0,37739785.0
22,Colombia,6356309,142486.0,6179501.0,34322.0,36951507.0,51512762.0
23,Austria,5780229,21689.0,5730189.0,28351.0,211273524.0,9066710.0
24,Greece,5708301,35630.0,5662212.0,10459.0,102228365.0,10316637.0
25,Portugal,5563907,26022.0,5532366.0,5519.0,45915651.0,10140570.0
26,Ukraine,5370131,111020.0,5253302.0,5809.0,32603805.0,43192122.0
27,Chile,5118981,63812.0,5051555.0,3614.0,48127301.0,19250195.0
28,Malaysia,5036593,36942.0,4989861.0,9790.0,67665089.0,33181072.0
29,Israel,4786189,12193.0,4768242.0,5754.0,41373364.0,9326000.0
30,DPRK,4772813,74.0,4772739.0,0.0,3225217.0,25990679.0
31,Thailand,4726984,33865.0,4692636.0,483.0,17270775.0,70078203.0
32,Belgium,4691499,33557.0,4644681.0,13261.0,36548544.0,11668278.0
33,Czechia,4590019,42312.0,4538304.0,9403.0,56893223.0,10736784.0
34,Canada,4550256,50380.0,4444013.0,55863.0,66343123.0,38388419.0
35,Peru,4481621,218931.0,4258688.0,4002.0,37754603.0,33684208.0
36,Switzerland,4385701,14452.0,4366770.0,4479.0,23318743.0,8773637.0
37,Philippines,4073454,65802.0,3998048.0,9604.0,34343332.0,112508994.0
38,South Africa,4055966,102595.0,3912506.0,40865.0,26473049.0,60756135.0
39,Romania,3325006,67576.0,3252104.0,5326.0,26389988.0,19031335.0
40,Denmark,3173247,8145.0,3163849.0,1253.0,129144754.0,5834950.0
41,Hong Kong,2877280,13358.0,2509483.0,354439.0,76123870.0,7604299.0
42,Sweden,2693458,23246.0,2658039.0,12173.0,19410527.0,10218971.0
43,Serbia,2471198,17701.0,2440527.0,12970.0,12154486.0,8653016.0
44,Iraq,2465545,25375.0,2439497.0,673.0,19544451.0,42164965.0
45,Singapore,2217110,1722.0,2144490.0,70898.0,24756666.0,5943546.0
46,Hungary,2192447,48677.0,2139857.0,3913.0,11394556.0,9606259.0
47,New Zealand,2182355,3781.0,2169320.0,9254.0,7710637.0,4898203.0
48,Bangladesh,2037556,29442.0,1992694.0,15420.0,15247014.0,167885689.0
49,Slovakia,1860893,20946.0,1839309.0,638.0,7390781.0,5460193.0
50,Georgia,1814180,16926.0,1776548.0,20706.0,16920079.0,3968738.0
51,Jordan,1746997,14122.0,1731007.0,1868.0,17201885.0,10300869.0
52,Ireland,1700253,8462.0,1685183.0,6608.0,12984257.0,5020199.0
53,Pakistan,1576313,30640.0,1538689.0,6984.0,30570862.0,229488994.0
54,Norway,1477856,5112.0,1471835.0,909.0,11002430.0,5511370.0
55,Finland,1458619,8639.0,1447569.0,2411.0,12017711.0,5554960.0
56,Kazakhstan,1405917,13695.0,1383020.0,9202.0,11575012.0,19205043.0
57,Slovenia,1321852,7056.0,1311159.0,3637.0,2824843.0,2078034.0
58,Lithuania,1296865,9545.0,1282528.0,4792.0,10350770.0,2661708.0
59,Bulgaria,1295426,38179.0,1254491.0,2756.0,10987749.0,6844597.0
60,Morocco,1272240,16296.0,1255881.0,63.0,12930733.0,37772756.0
61,Croatia,1267580,17877.0,1249168.0,535.0,5476183.0,4059286.0
62,Lebanon,1228639,10790.0,1087587.0,130262.0,4795578.0,6684849.0
63,Guatemala,1227853,20106.0,1204545.0,3202.0,6757892.0,18584039.0
64,Bolivia,1187986,22346.0,1146143.0,19497.0,2705422.0,11992656.0
65,Costa Rica,1186176,9158.0,860711.0,316307.0,4659757.0,5182354.0
66,Tunisia,1150356,29308.0,545003.0,739.0,4997373.0,12046656.0
67,Cuba,1112438,8530.0,1103799.0,109.0,14298479.0,11305652.0
68,Ecuador,1051239,35942.0,1011682.0,3615.0,3082403.0,18113361.0
69,UAE,1049409,2348.0,1032735.0,14326.0,198638806.0,10081785.0
70,Uruguay,1032710,7609.0,1023939.0,1162.0,6114822.0,3496016.0
71,Panama,1029701,8596.0,1020206.0,899.0,7475016.0,4446964.0
72,Mongolia,1007871,2179.0,1005658.0,34.0,4030048.0,3378078.0
73,Nepal,1001102,12020.0,989064.0,18.0,6003944.0,30225582.0
74,Belarus,994037,7118.0,985592.0,1327.0,13646641.0,9432800.0
75,Latvia,975355,6218.0,968830.0,307.0,7858319.0,1848837.0
76,Saudi Arabia,827962,9574.0,815528.0,2860.0,45048008.0,35844909.0
77,Azerbaijan,827944,10085.0,817654.0,205.0,7487550.0,10300205.0
78,Paraguay,806256,19820.0,985592.0,2411.0,2657506.0,7305843.0
79,Bahrain,700452,1543.0,698400.0,509.0,10682444.0,1783983.0
80,Sri Lanka,671989,16828.0,655158.0,3.0,6486117.0,21575842.0
81,Kuwait,662858,2570.0,660237.0,51.0,8455743.0,4380326.0
82,Dominican Republic,660095,4384.0,644785.0,10926.0,3740928.0,11056370.0
83,Cyprus,642663,1287.0,633422.0,7954.0,9640118.0,1223387.0
84,Myanmar,633820,19490.0,614299.0,31.0,9941945.0,55227143.0
85,Palestine,621008,5404.0,615445.0,159.0,3078533.0,5345541.0
86,Estonia,613891,2912.0,524990.0,85989.0,3659157.0,1321910.0
87,Moldova,598673,11953.0,504142.0,82578.0,3216305.0,4013171.0
88,Venezuela,551587,5845.0,545003.0,739.0,3359014.0,29266991.0
89,Egypt,515645,24613.0,442182.0,48850.0,3693367.0,106156692.0
90,Libya,507162,6437.0,500721.0,4.0,2483446.0,7040745.0
91,China,503302,1968.0,184676.0,992.0,1968708.0,5676382.5
92,Ethiopia,499531,7572.0,486531.0,5428.0,5459809.0,120812698.0
93,Qatar,492534,686.0,491585.0,263.0,4065369.0,2979915.0
94,Réunion,485895,919.0,418572.0,66404.0,1603660.0,908061.0
95,Honduras,470757,11104.0,545003.0,739.0,1619676.0,10221247.0
96,Armenia,446008,8717.0,435162.0,2129.0,3242901.0,2971966.0
97,Bosnia and Herzegovina,401384,16255.0,379084.0,6045.0,1884721.0,3249317.0
98,Oman,399449,4628.0,384669.0,10152.0,25000000.0,5323993.0
99,North Macedonia,346428,9638.0,336623.0,167.0,2216193.0,2081304.0
100,Kenya,342810,5688.0,337040.0,82.0,3967062.0,56215221.0
101,Zambia,340763,4047.0,335104.0,1612.0,3865993.0,19470234.0
102,Albania,334167,3595.0,328951.0,1621.0,1941032.0,2866374.0
103,Botswana,329227,2800.0,325934.0,493.0,2026898.0,2441162.0
104,Luxembourg,297757,1133.0,288991.0,7633.0,4412567.0,642371.0
105,Montenegro,286355,2797.0,283210.0,348.0,2697814.0,627950.0
106,Brunei,275220,225.0,243601.0,31394.0,717784.0,445431.0
107,Algeria,271378,6881.0,182749.0,81748.0,230861.0,45350148.0
108,Nigeria,266463,3155.0,259850.0,3458.0,5708974.0,216746934.0
109,Zimbabwe,261606,5652.0,254951.0,1003.0,2525756.0,15331428.0
110,Uzbekistan,250567,1637.0,241486.0,7444.0,1377915.0,34382084.0
111,Mozambique,231994,2233.0,228805.0,956.0,1371127.0,33089461.0
112,Martinique,229687,1097.0,72676.0,307.0,828928.0,374087.0
113,Laos,217973,758.0,985592.0,2411.0,1233207.0,7481023.0
